t_s,Cb_mM
319.5,0.428068377421281
320,0.427467719884989
320.5,0.426867905180112
321,0.426268932124003
321.5,0.425670799535678
322,0.425073506235807
322.5,0.424477051046717
323,0.423881432792385
323.5,0.423286650298442
324,0.422692702392164
324.5,0.422099587902472
325,0.421507305659933
325.5,0.420915854496753
326,0.420325233246776
326.5,0.419735440745484
327,0.419146475829993
327.5,0.418558337339049
328,0.417971024113029
328.5,0.417384534993937
329,0.416798868825402
329.5,0.416214024452673
330,0.415630000722624
330.5,0.415046796483743
331,0.414464410586136
331.5,0.413882841881522
332,0.413302089223231
332.5,0.412722151466201
333,0.412143027466979
333.5,0.411564716083715
334,0.410987216176162
334.5,0.410410526605671
335,0.409834646235194
335.5,0.409259573929275
336,0.408685308554054
336.5,0.408111848977261
337,0.407539194068214
337.5,0.406967342697818
338,0.406396293738564
338.5,0.405826046064523
339,0.405256598551347
339.5,0.404687950076264
340,0.40412009951808
340.5,0.403553045757172
341,0.40298678767549
341.5,0.402421324156551
342,0.401856654085439
342.5,0.401292776348804
343,0.400729689834857
343.5,0.400167393433368
344,0.399605886035667
344.5,0.399045166534639
345,0.39848523382472
345.5,0.397926086801902
346,0.397367724363723
346.5,0.396810145409267
347,0.396253348839166
347.5,0.395697333555591
348,0.395142098462258
348.5,0.394587642464417
349,0.394033964468855
349.5,0.393481063383896
350,0.392928938119392
350.5,0.392377587586726
351,0.39182701069881
351.5,0.39127720637008
352,0.390728173516495
352.5,0.390179911055535
353,0.3896324179062
353.5,0.389085692989006
354,0.388539735225985
354.5,0.38799454354068
355,0.387450116858144
355.5,0.386906454104942
356,0.38636355420914
356.5,0.385821416100312
357,0.385280038709533
357.5,0.384739420969378
358,0.384199561813918
358.5,0.383660460178722
359,0.383122115000852
359.5,0.382584525218861
360,0.382047689772791
360.5,0.381511607604173
361,0.380976277656022
361.5,0.380441698872836
362,0.379907870200594
362.5,0.379374790586755
363,0.378842458980254
363.5,0.378310874331501
364,0.377780035592379
364.5,0.377249941716242
365,0.376720591657911
365.5,0.376191984373676
366,0.37566411882129
366.5,0.375136993959968
367,0.374610608750388
367.5,0.374084962154682
368,0.373560053136443
368.5,0.373035880660715
369,0.372512443693995
369.5,0.371989741204231
370,0.371467772160819
370.5,0.370946535534601
371,0.370426030297862
371.5,0.369906255424331
372,0.369387209889175
372.5,0.368868892669
373,0.368351302741849
373.5,0.367834439087198
374,0.367318300685954
374.5,0.366802886520455
375,0.366288195574468
375.5,0.365774226833185
376,0.365260979283221
376.5,0.364748451912614
377,0.364236643710822
377.5,0.363725553668721
378,0.363215180778602
378.5,0.362705524034172
379,0.362196582430547
379.5,0.361688354964257
380,0.361180840633236
380.5,0.360674038436826
381,0.360167947375775
381.5,0.359662566452229
382,0.359157894669737
382.5,0.358653931033247
383,0.358150674549099
383.5,0.357648124225032
384,0.357146279070176
384.5,0.356645138095048
385,0.356144700311559
385.5,0.355644964733003
386,0.355145930374058
386.5,0.354647596250786
387,0.354149961380631
387.5,0.353653024782412
388,0.353156785476329
388.5,0.352661242483953
389,0.35216639482823
389.5,0.351672241533477
390,0.35117878162538
390.5,0.350686014130991
391,0.350193938078729
391.5,0.349702552498374
392,0.34921185642107
392.5,0.348721848879319
393,0.34823252890698
393.5,0.347743895539269
394,0.347255947812756
394.5,0.346768684765361
395,0.346282105436355
395.5,0.345796208866358
396,0.345310994097335
396.5,0.344826460172595
397,0.344342606136791
397.5,0.343859431035915
398,0.343376933917298
398.5,0.342895113829609
399,0.34241396982285
399.5,0.341933500948357
400,0.341453706258797
400.5,0.340974584808167
401,0.34049613565179
401.5,0.340018357846316
402,0.339541250449717
402.5,0.339064812521288
403,0.338589043121644
403.5,0.338113941312718
404,0.33763950615776
404.5,0.337165736721332
405,0.336692632069311
405.5,0.336220191268885
406,0.335748413388548
406.5,0.335277297498104
407,0.334806842668661
407.5,0.33433704797263
408,0.333867912483725
408.5,0.333399435276959
409,0.332931615428642
409.5,0.332464452016382
410,0.331997944119079
410.5,0.331532090816927
411,0.331066891191411
411.5,0.330602344325304
412,0.330138449302665
412.5,0.329675205208841
413,0.32921261113046
413.5,0.328750666155433
414,0.32828936937295
414.5,0.32782871987348
415,0.327368716748766
415.5,0.326909359091829
416,0.326450645996959
416.5,0.32599257655972
417,0.325535149876943
417.5,0.325078365046726
418,0.324622221168435
418.5,0.324166717342698
419,0.323711852671405
419.5,0.323257626257706
420,0.32280403720601
420.5,0.322351084621984
421,0.321898767612546
421.5,0.321447085285872
422,0.320996036751385
422.5,0.320545621119761
423,0.320095837502922
423.5,0.319646685014037
424,0.31919816276752
424.5,0.318750269879024
425,0.318303005465448
425.5,0.317856368644927
426,0.317410358536834
426.5,0.316964974261778
427,0.316520214941602
427.5,0.316076079699381
428,0.31563256765942
428.5,0.315189677947253
429,0.314747409689642
429.5,0.314305762014574
430,0.313864734051259
430.5,0.313424324930128
431,0.312984533782834
431.5,0.312545359742248
432,0.312106801942456
432.5,0.311668859518762
433,0.311231531607682
433.5,0.310794817346942
434,0.31035871587548
434.5,0.309923226333441
435,0.309488347862178
435.5,0.309054079604248
436,0.30862042070341
436.5,0.308187370304626
437,0.307754927554058
437.5,0.307323091599065
438,0.306891861588202
438.5,0.30646123667122
439,0.306031215999063
439.5,0.305601798723866
440,0.305172983998953
440.5,0.304744770978838
441,0.304317158819218
441.5,0.303890146676979
442,0.303463733710187
442.5,0.303037919078089
443,0.302612701941115
443.5,0.302188081460869
444,0.301764056800135
444.5,0.30134062712287
445,0.300917791594204
445.5,0.300495549380439
446,0.300073899649046
446.5,0.299652841568666
447,0.299232374309104
447.5,0.298812497041332
448,0.298393208937485
448.5,0.297974509170858
449,0.297556396915908
449.5,0.29713887134825
450,0.296721931644655
450.5,0.296305576983049
451,0.295889806542513
451.5,0.295474619503278
452,0.295060015046727
452.5,0.29464599235539
453,0.294232550612946
453.5,0.293819689004218
454,0.293407406715172
454.5,0.292995702932919
455,0.292584576845709
455.5,0.29217402764293
456,0.29176405451511
456.5,0.29135465665391
457,0.290945833252128
457.5,0.290537583503692
458,0.290129906603664
458.5,0.289722801748232
459,0.289316268134714
459.5,0.288910304961556
460,0.288504911428324
460.5,0.288100086735712
461,0.287695830085533
461.5,0.28729214068072
462,0.286889017725324
462.5,0.286486460424516
463,0.286084467984579
463.5,0.285683039612911
464,0.285282174518022
464.5,0.284881871909532
465,0.28448213099817
465.5,0.284082950995775
466,0.283684331115289
466.5,0.283286270570759
467,0.282888768577337
467.5,0.282491824351272
468,0.282095437109917
468.5,0.281699606071721
469,0.28130433045623
469.5,0.280909609484086
470,0.280515442377023
470.5,0.280121828357868
471,0.279728766650539
471.5,0.279336256480041
472,0.278944297072469
472.5,0.278552887655003
473,0.278162027455907
473.5,0.277771715704527
474,0.277381951631293
474.5,0.276992734467712
475,0.276604063446371
475.5,0.276215937800934
476,0.275828356766139
476.5,0.275441319577799
477,0.275054825472798
477.5,0.274668873689093
478,0.274283463465708
478.5,0.273898594042735
479,0.273514264661335
479.5,0.27313047456373
480,0.272747222993208
480.5,0.272364509194117
481,0.271982332411867
481.5,0.271600691892926
482,0.271219586884819
482.5,0.270839016636127
483,0.270458980396487
483.5,0.270079477416585
484,0.269700506948164
484.5,0.269322068244011
485,0.268944160557966
485.5,0.268566783144913
486,0.268189935260785
486.5,0.267813616162555
487,0.267437825108241
487.5,0.267062561356902
488,0.266687824168636
488.5,0.26631361280458
489,0.265939926526907
489.5,0.265566764598826
490,0.265194126284578
490.5,0.26482201084944
491,0.264450417559717
491.5,0.264079345682743
492,0.263708794486883
492.5,0.263338763241527
493,0.262969251217089
493.5,0.262600257685009
494,0.262231781917748
494.5,0.261863823188787
495,0.261496380772629
495.5,0.261129453944794
496,0.260763041981816
496.5,0.260397144161247
497,0.260031759761653
497.5,0.259666888062611
498,0.259302528344709
498.5,0.258938679889544
499,0.258575341979722
499.5,0.258212513898856
500,0.257850194931563
500.5,0.257488384363464
501,0.257127081481183
501.5,0.256766285572346
502,0.256405995925576
502.5,0.256046211830495
503,0.255686932577724
503.5,0.255328157458877
504,0.254969885766562
504.5,0.254612116794381
505,0.254254849836927
505.5,0.253898084189782
506,0.253541819149516
506.5,0.253186054013687
507,0.252830788080839
507.5,0.2524760206505
508,0.25212175102318
508.5,0.251767978500371
509,0.251414702384545
509.5,0.251061921979154
510,0.250709636588626
510.5,0.250357845518365
511,0.25000654807475
511.5,0.249655743565134
512,0.249305431297842
512.5,0.248955610582166
513,0.248606280728373
513.5,0.248257441047693
514,0.247909090852324
514.5,0.247561229455431
515,0.24721385617114
515.5,0.24686697031454
516,0.246520571201683
516.5,0.246174658149579
517,0.245829230476196
517.5,0.245484287500459
518,0.245139828542251
518.5,0.244795852922407
519,0.244452359962716
